source,label,target,type,id,kind,weight
Ihesus,SPRECHEN,Adam,directed,e271,spricht,
Ihesus,SINGEN,Adam,directed,e272,singt,
Anima Infelix,FLIEHEN,Scena,directed,e273,flieht,
Diabolus,FANGEN,Anima Infelix,directed,e274,fängt,
Diabolus,SPRECHEN,Anima Infelix,directed,e275,spricht,
Anima Infelix,SPRECHEN,Ihesus,directed,e276,spricht,
Lucifer,SPRECHEN,Adam,directed,e277,spricht,
Lucifer,LAUFEN,Palatium Luciferi,directed,e278,läuft,
Lucifer,RUFEN,Diabolus,directed,e279,schreit,
Sathanas,SPRECHEN,Lucifer,directed,e280,spricht,
Lucifer,SPRECHEN,Sathanas,directed,e281,spricht,
Sathanas,SPRECHEN,Lucifer,directed,e282,spricht,
Lucifer,SPRECHEN,Sathanas,directed,e283,spricht,
Sathanas,SPRECHEN,Lucifer,directed,e284,spricht,
Sathanas,FANGEN,Prima Anima,directed,e285,fängt,
Sathanas,FANGEN,Secunda Anima,directed,e286,fängt,
Sathanas,FANGEN,Tertia Anima,directed,e287,fängt,
Sathanas,FANGEN,Quarta Anima,directed,e288,fängt,
Sathanas,FANGEN,Quinta Anima,directed,e289,fängt,
Sathanas,FANGEN,Sexta Anima,directed,e290,fängt,
Sathanas,FANGEN,Septima Anima,directed,e291,fängt,
Primus Angelus,SINGEN,Ignotus,directed,e292,singt,
Secundus Angelus,SINGEN,Ignotus,directed,e293,singt,
Tertius Angelus,SINGEN,Ignotus,directed,e294,singt,
Sathanas,GEHEN,Infernum,directed,e295,kehrt zurück,
Prima Anima,GEHEN,Infernum,directed,e296,geht,
Secunda Anima,GEHEN,Infernum,directed,e297,geht,
Tertia Anima,GEHEN,Infernum,directed,e298,geht,
Quarta Anima,GEHEN,Infernum,directed,e299,geht,
Quinta Anima,GEHEN,Infernum,directed,e300,geht,
Sexta Anima,GEHEN,Infernum,directed,e301,geht,
Septima Anima,GEHEN,Infernum,directed,e302,geht,
Sathanas,SPRECHEN,Lucifer,directed,e303,spricht,
Lucifer,SPRECHEN,Sathanas,directed,e304,spricht,
Prima Anima,SPRECHEN,Lucifer,directed,e305,spricht,
Secunda Anima,SPRECHEN,Lucifer,directed,e306,spricht,
Tertia Anima,SPRECHEN,Lucifer,directed,e307,spricht,
Quarta Anima,SPRECHEN,Lucifer,directed,e308,spricht,
Quinta Anima,SPRECHEN,Lucifer,directed,e309,spricht,
Sexta Anima,SPRECHEN,Lucifer,directed,e310,spricht,
Septima Anima,SPRECHEN,Lucifer,directed,e311,spricht,
Lucifer,SPRECHEN,Sathanas,directed,e312,spricht,
Sathanas,FÜHREN,Prima Anima,directed,e313,führt,
Sathanas,FÜHREN,Secunda Anima,directed,e314,führt,
Sathanas,FÜHREN,Tertia Anima,directed,e315,führt,
Sathanas,FÜHREN,Quarta Anima,directed,e316,führt,
